TIPO;ID;DESCRIPCION;DESCRIPCION_LEM;
Problem;3655.0;Deficiencia en las reglas, protocolos y procesos de la corresponsabilidad entre la Nacion y demas entes territoriales del pais en la implementacion de la politica para victimas y demas actores del conflicto;['deficiencia', 'en', 'el', 'regla', ',', 'protocolo', 'y', 'proceso', 'de', 'el', 'corresponsabilidad', 'entre', 'el', 'nacion', 'y', 'dema', 'ente', 'territorial', 'de', 'el', 'pais', 'en', 'el', 'implementacion', 'de', 'el', 'politica', 'para', 'victima', 'y', 'dema', 'actor', 'de', 'el', 'conflicto'];
Effect;18181.0;Descoordinacion institucional en el tema de atencion a victimas;['descoordinacion', 'institucional', 'en', 'el', 'tema', 'de', 'atencion', 'a', 'victima'];
Effect;18182.0;Ineficiencia e ineficacia en la atencion a victimas del conflicto armado por parte de los entes territoriales;['ineficiencia', 'e', 'ineficacia', 'en', 'el', 'atencion', 'a', 'victima', 'de', 'el', 'conflicto', 'armado', 'por', 'parte', 'de', 'el', 'ente', 'territorial'];
Effect;18183.0;Inequidad social;['inequidad', 'social'];
Effect;18626.0;Baja capacidad de las entidades territoriales implementacion de la politica de victimas;['bajo', 'capacidad', 'de', 'el', 'entidad', 'territorial', 'implementacion', 'de', 'el', 'politica', 'de', 'victima'];
Cause;14455.0;Baja coordinacion entre la Nacion y las entidades territoriales en materia de atencion a la poblacion victimas y actores del conflicto armado;['bajo', 'coordinacion', 'entre', 'el', 'nacion', 'y', 'el', 'entidad', 'territorial', 'en', 'materia', 'de', 'atencion', 'a', 'el', 'poblacion', 'victimo', 'y', 'actor', 'de', 'el', 'conflicto', 'armado'];
Cause;14879.0;Sistema de corresponsabilidad es un tema reciente para el pais;['sistema', 'de', 'corresponsabilidad', 'ser', 'uno', 'tema', 'reciente', 'para', 'el', 'pais'];
Problem;488.0;ESCASAS INICIATIVAS PRODUCTIVAS PARA INCENTIVAR A FAMILIAS VICTMAS DEL CONFLICTO PARA LA GENERACION DE INGRESOS;['escaso', 'iniciativa', 'productivo', 'para', 'incentivar', 'a', 'familia', 'victmo', 'de', 'el', 'conflicto', 'para', 'el', 'generacion', 'de', 'ingreso'];
Effect;1849.0;INCREMENTO DE LA POBLACION EN CONDICIONES DE DESPLAZAMIENTO EN LOS CENTROS POBLADOS;['incremento', 'de', 'el', 'poblacion', 'en', 'condición', 'de', 'desplazamiento', 'en', 'el', 'centro', 'poblado'];
Effect;1850.0;BAJOS INGRESOS PARA LAS FAMILIAS VICTIMAS DEL CONFLICTO;['bajo', 'ingreso', 'para', 'el', 'familia', 'victimo', 'de', 'el', 'conflicto'];
Effect;1851.0;BAJA CALIDA DE VIDA DE LAS VICTIMAS DEL CONFLICTO;['bajo', 'calida', 'de', 'vida', 'de', 'el', 'victima', 'de', 'el', 'conflicto'];
Effect;1852.0;AUMENTO DE LAS NECESIDADES BASICAS INSATISFECHAS (NBI);['aumento', 'de', 'el', 'necesidad', 'basico', 'insatisfechocho', '(', 'nbi', ')'];
Cause;2509.0;ESCASAS OPORTUNIDADES LABORALES PARA LAS VICTIMAS DEL CONFLICTO;['escaso', 'oportunidad', 'laboral', 'para', 'el', 'victima', 'de', 'el', 'conflicto'];
Cause;2510.0;FALTA DE APOYO DE LAS ENTIDADES GUBERNAMENTALES PARA LA GENERACION DE INGRESOS DE LAS FAMILIAS VICTIMAS DEL CONFLICTO;['falta', 'de', 'apoyo', 'de', 'el', 'entidad', 'gubernamental', 'para', 'el', 'generacion', 'de', 'ingreso', 'de', 'el', 'familia', 'victimo', 'de', 'el', 'conflicto'];
Cause;2511.0;DEFICIENTE APLICACION DE LA LEY DE VICTIMAS;['deficiente', 'aplicacion', 'de', 'el', 'ley', 'de', 'victima'];
Cause;2512.0;DESCONOCIMIENTO DE LOS DERECHOS DE LA POBLACION VICTIMA DELCONFLICTO POR PARTE DE LAS ENTIDADES;['desconocimiento', 'de', 'el', 'derecho', 'de', 'el', 'poblacion', 'victimo', 'delconflicto', 'por', 'parte', 'de', 'el', 'entidad'];
Problem;4048.0;Insostenibilidad economica y social de las familias y mujeres Victimas del Conflicto Armado;['insostenibilidad', 'economico', 'y', 'social', 'de', 'el', 'familia', 'y', 'mujer', 'victimo', 'de', 'el', 'conflicto', 'armado'];
Effect;15267.0;Incremento de la poblacion en condiciones de desplazamiento en los centros poblados;['incremento', 'de', 'el', 'poblacion', 'en', 'condición', 'de', 'desplazamiento', 'en', 'el', 'centro', 'poblado'];
Effect;15268.0;Descomposicion social;['descomposicion', 'social'];
Effect;15269.0;Baja calidad de vida de las Victimas del Conflito Armado;['bajo', 'calidad', 'de', 'vida', 'de', 'el', 'victima', 'de', 'el', 'conflito', 'armado'];
Effect;15270.0;Aumento de las Necesidades Basicas insatisfechas (NBI);['aumento', 'de', 'el', 'necesidad', 'basico', 'insatisfechocho', '(', 'nbi', ')'];
Cause;14840.0;Minimas oportunidades para la generacion de ingresos para la poblacion VCA;['minimo', 'oportunidad', 'para', 'el', 'generacion', 'de', 'ingreso', 'para', 'el', 'poblacion', 'vco'];
Cause;14842.0;Deficiente aplicacion de la Ley de Victimas;['deficiente', 'aplicacion', 'de', 'el', 'ley', 'de', 'victima'];
Cause;16771.0;Falta de apoyo de las entidades gubernamentales para la generacion de ingresos de las familias y mujeres VCA;['falta', 'de', 'apoyo', 'de', 'el', 'entidad', 'gubernamental', 'para', 'el', 'generacion', 'de', 'ingreso', 'de', 'el', 'familia', 'y', 'mujer', 'vco'];
Cause;16772.0;Minimas iniciativas productivas;['minimo', 'iniciativa', 'productivo'];
Problem;33059.0;ALTOS COSTOS DE LOS ALIMENTOS CONCENTRADOS COMERCIALES PARA ANIMALES DE GRANJA EN EL MUNICIPIO DE LA PENA.;['alto', 'costo', 'de', 'el', 'alimento', 'concentrado', 'comercial', 'para', 'animal', 'de', 'granja', 'en', 'el', 'municipio', 'de', 'el', 'pena', '.'];
Effect;117774.0;Aumento de los costos de produccion de los productos pecuarios (Kg de carne, litro de leche, huevo entre otros).;['aumento', 'de', 'el', 'costo', 'de', 'produccion', 'de', 'el', 'producto', 'pecuario', '(', 'kg', 'de', 'carne', ',', 'litro', 'de', 'leche', ',', 'huevo', 'entre', 'otro', ')', '.'];
Effect;117778.0;Perdida de la competitividad del productor en el mercado local y regional.;['perdido', 'de', 'el', 'competitividad', 'de', 'el', 'productor', 'en', 'el', 'mercado', 'local', 'y', 'regional', '.'];
Cause;111903.0;Carencia de equipos para la transformacion de los productos alimenticios tradicionales.;['carencia', 'de', 'equipo', 'para', 'el', 'transformacion', 'de', 'el', 'producto', 'alimenticio', 'tradicional', '.'];
Cause;130784.0;Recursos financieros limitados;['recurso', 'financiero', 'limitado'];
Problem;483.0;ALTA INTERMEDIACION  Y FALTA DE CULTURA EMPRESARIAL QUE CONLLEVA  A UNA BAJO PODER DE NEGOCIACION;['alto', 'intermediacion', 'y', 'falta', 'de', 'cultura', 'empresarial', 'que', 'conllevar', 'a', 'uno', 'bajo', 'poder', 'de', 'negociacion'];
Effect;1828.0;Baja competitividad de los  pequenos productores del sector agricola y pecuario;['bajo', 'competitividad', 'de', 'el', 'pequeno', 'productor', 'de', 'el', 'sector', 'agricola', 'y', 'pecuario'];
