target;id;text;text_tokenized_list;text_tokenized
effect;168225.0;congestion del trafico vehicular a causa de la precencia de peatones;['congestion', 'trafico', 'vehicular', 'causa', 'precencia', 'peatones'];congestion trafico vehicular causa precencia peatones
effect;9074.0;altos costos por el mantenimiento de vehiculos;['altos', 'costos', 'mantenimiento', 'vehiculos'];altos costos mantenimiento vehiculos
effect;6799.0;aumento en los tiempos de viaje;['aumento', 'tiempos', 'viaje'];aumento tiempos viaje
cause;1877.0;mantenimiento preventivo y correctivo deficiente;['mantenimiento', 'preventivo', 'correctivo', 'deficiente'];mantenimiento preventivo correctivo deficiente
effect;142231.0;aumento en los costos de transporte de carga y pasajeros;['aumento', 'costos', 'transporte', 'carga', 'pasajeros'];aumento costos transporte carga pasajeros
cause;2278.0;ausencia de asistencia tecnica en temas relacionados con la gestion del riesgo;['ausencia', 'asistencia', 'tecnica', 'temas', 'relacionados', 'gestion', 'riesgo'];ausencia asistencia tecnica temas relacionados gestion riesgo
effect;3087.0;insostenibilidad fiscal municipal de largo plazo al cubrir la demanda de bienes y servicios publicos que promueve el desarrollo inmobiliario;['insostenibilidad', 'fiscal', 'municipal', 'largo', 'plazo', 'cubrir', 'demanda', 'bienes', 'servicios', 'publicos', 'promueve', 'desarrollo', 'inmobiliario'];insostenibilidad fiscal municipal largo plazo cubrir demanda bienes servicios publicos promueve desarrollo inmobiliario
effect;3063.0;perdidas economicas tributarias de municipios al desconocer las dinamicas del territorio;['perdidas', 'economicas', 'tributarias', 'municipios', 'desconocer', 'dinamicas', 'territorio'];perdidas economicas tributarias municipios desconocer dinamicas territorio
cause;7467.0;inadecuadas condiciones para el transito vehicular sobre el rio.;['inadecuadas', 'condiciones', 'transito', 'vehicular', 'rio'];inadecuadas condiciones transito vehicular rio
problem;1956.0;dificultad en la movilidad peatonal y vehicular en la via vereda santa-barbara sector la escuela con otros sectores veredales y el casco urbano del municipio de la mesa;['dificultad', 'movilidad', 'peatonal', 'vehicular', 'via', 'vereda', 'sector', 'escuela', 'sectores', 'veredales', 'casco', 'urbano', 'municipio', 'mesa'];dificultad movilidad peatonal vehicular via vereda sector escuela sectores veredales casco urbano municipio mesa
cause;4809.0;deficiente drenaje de escorrentia;['deficiente', 'drenaje', 'escorrentia'];deficiente drenaje escorrentia
cause;67247.0;deterioro de las zonas de espacio publico;['deterioro', 'zonas', 'espacio', 'publico'];deterioro zonas espacio publico
cause;8941.0;escaso mantenimiento de la via;['escaso', 'mantenimiento', 'via'];escaso mantenimiento via
problem;1898.0;limitadas capacidades locales y regionales en los municipios de las provincias de sabana centro, ubate y almeidas para implementar medidas de gestion del riesgo manejo de desastres basadas en la estrategia integral de respuesta a emergencias, por falta de centros de atencion integral con mayor capacidad de respuesta.;['limitadas', 'capacidades', 'locales', 'regionales', 'municipios', 'provincias', 'sabana', 'centro', 'ubate', 'almeidas', 'implementar', 'medidas', 'gestion', 'riesgo', 'manejo', 'desastres', 'basadas', 'estrategia', 'integral', 'respuesta', 'emergencias', 'falta', 'centros', 'atencion', 'integral', 'mayor', 'capacidad', 'respuesta'];limitadas capacidades locales regionales municipios provincias sabana centro ubate almeidas implementar medidas gestion riesgo manejo desastres basadas estrategia integral respuesta emergencias falta centros atencion integral mayor capacidad respuesta
cause;6678.0;falta de mantenimiento correctivo;['falta', 'mantenimiento', 'correctivo'];falta mantenimiento correctivo
effect;104827.0;dificil acceso de servicios medicos;['dificil', 'acceso', 'servicios', 'medicos'];dificil acceso servicios medicos
cause;2508.0;baja credibilidad de las personas en las entidades crediciticias;['baja', 'credibilidad', 'personas', 'entidades', 'crediciticias'];baja credibilidad personas entidades crediciticias
cause;16543.0;aumento en los costos de transporte;['aumento', 'costos', 'transporte'];aumento costos transporte
cause;1992.0;mal estado de la maquinaria del municipio para realizar los diferentes mantenimientos preventivos;['mal', 'maquinaria', 'municipio', 'realizar', 'diferentes', 'mantenimientos', 'preventivos'];mal maquinaria municipio realizar diferentes mantenimientos preventivos
effect;193055.0;incrementos en los costos de mantenimiento de los vehiculos;['incrementos', 'costos', 'mantenimiento', 'vehiculos'];incrementos costos mantenimiento vehiculos
effect;8457.0;deterioro del paisaje urbano del sector.;['deterioro', 'paisaje', 'urbano', 'sector'];deterioro paisaje urbano sector
cause;5568.0;mantenimiento preventivo y correctivo deficiente;['mantenimiento', 'preventivo', 'correctivo', 'deficiente'];mantenimiento preventivo correctivo deficiente
cause;6806.0;el bajo mantenimiento;['bajo', 'mantenimiento'];bajo mantenimiento
effect;132417.0;aumento en los costos operativos;['aumento', 'costos', 'operativos'];aumento costos operativos
cause;3141.0;prevalencia del interes individual sobre el interes general;['prevalencia', 'interes', 'individual', 'interes', 'general'];prevalencia interes individual interes general
effect;1837.0;deterioro en la salud publica del municipio y la region.;['deterioro', 'salud', 'publica', 'municipio', 'region'];deterioro salud publica municipio region
cause;21648.0;deterioro de la superficie de rodadura;['deterioro', 'superficie', 'rodadura'];deterioro superficie rodadura
cause;8714.0;falta de apropiacion social en los territorios evidenciado en escepticismo al acercamiento a la ctei y a la concepcion de altos costos en el uso de soluciones innovadoras;['falta', 'apropiacion', 'social', 'territorios', 'evidenciado', 'escepticismo', 'acercamiento', 'ctei', 'concepcion', 'altos', 'costos', 'uso', 'soluciones', 'innovadoras'];falta apropiacion social territorios evidenciado escepticismo acercamiento ctei concepcion altos costos uso soluciones innovadoras
effect;5253.0;aumento en los tiempos de viaje;['aumento', 'tiempos', 'viaje'];aumento tiempos viaje
cause;3584.0;falta de programas y politicas publicas enfocadas a la comunidad lgbti;['falta', 'programas', 'politicas', 'publicas', 'enfocadas', 'comunidad', 'lgbti'];falta programas politicas publicas enfocadas comunidad lgbti
problem;415.0;comunicacion terrestre vehicular interrumpida en epoca de invierno en la via alto conone del municipio de guayabal de siquima, cundinamarca;['comunicacion', 'terrestre', 'vehicular', 'interrumpida', 'epoca', 'invierno', 'via', 'alto', 'conone', 'municipio', 'guayabal', 'siquima', 'cundinamarca'];comunicacion terrestre vehicular interrumpida epoca invierno via alto conone municipio guayabal siquima cundinamarca
cause;110264.0;deterioro de las vias;['deterioro', 'vias'];deterioro vias
effect;25304.0;aumento en el tiempo del recorrido;['aumento', 'tiempo', 'recorrido'];aumento tiempo recorrido
effect;3756.0;escaso mantenimiento de la via;['escaso', 'mantenimiento', 'via'];escaso mantenimiento via
effect;2343.0;menores oportunidades de emprendimientos y fortalecimientos empresarial;['menores', 'oportunidades', 'emprendimientos', 'fortalecimientos', 'empresarial'];menores oportunidades emprendimientos fortalecimientos empresarial
cause;2960.0;falta de prirorizacion del cerramiento dentro de las acciones realizadas en el predio;['falta', 'prirorizacion', 'cerramiento', 'dentro', 'acciones', 'realizadas', 'predio'];falta prirorizacion cerramiento dentro acciones realizadas predio
effect;24325.0;aumento en costos de flete de transporte de los productos agricolas;['aumento', 'costos', 'flete', 'transporte', 'productos', 'agricolas'];aumento costos flete transporte productos agricolas
effect;6010.0;1. aumento en los tiempos de desplazamiento;['aumento', 'tiempos', 'desplazamiento'];aumento tiempos desplazamiento
cause;5393.0;problemas de adquisicion de vivienda;['problemas', 'adquisicion', 'vivienda'];problemas adquisicion vivienda
cause;14049.0;deterioro de las vias;['deterioro', 'vias'];deterioro vias
cause;15436.0;deficiente drenaje de escorrentia;['deficiente', 'drenaje', 'escorrentia'];deficiente drenaje escorrentia
cause;3417.0;falta de articulacion institucional y de estrategias clara de coordinacion;['falta', 'articulacion', 'institucional', 'estrategias', 'clara', 'coordinacion'];falta articulacion institucional estrategias clara coordinacion
effect;3176.0;disminucion de turistas en el municipio.;['disminucion', 'turistas', 'municipio'];disminucion turistas municipio
